ID,Group,Task,Information,ItemsPickedBeforeEarthquake,ItemsPickedDuringEarthquake,ItemsPickedAfterEarthquake,BooksPlacedBeforeEarthquake,BooksPlacedDuringEarthquake,BooksPlacedAfterEarthquake,ItemsObservedBeforeEarthquake,ItemsObservedDuringEarthquake,ItemsObservedAfterEarthquake,CoverAttempts,AverageDurationInTableCover,Total Duration In table Cover,Total Duration In table Cover Before Earthquake,Total Duration In table Cover During Earthquake,Total Duration In table Cover After Earthquake,SittingTransitions,AverageSeatedDuration,Total Seated Duration,Total Seated Duration Before Earthquake,Total Seated Duration During Earthquake,Total Seated Duration After Earthquake
41_B21034,Group 2,Book Task,Not Given,4,2,3,3.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0.501,0.501,0.0,0.0,0.501
40_B21268,Group 1,Book Task,Given,5,0,11,2.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,19,2.2042105263157894,41.88,2.265,27.343,12.272
21_B22131,Group 1,Book Task,Given,8,4,9,3.0,0.0,3.0,0.0,0.0,0.0,2,1.672,3.344,0.0,3.344,0.0,17,1.3219411764705884,22.473,0.0,22.473,0.0
45_B22080,Group 2,Book Task,Not Given,9,2,18,3.0,2.0,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6,3.5176666666666665,21.106,0.0,16.119,4.987
39_B22108,Group 2,Book Task,Not Given,6,7,4,3.0,2.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20_B22202,Group 2,Book Task,Not Given,7,3,6,2.0,1.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
57_B22098,Group 4,No Task,Not Given,10,2,9,0.0,0.0,0.0,7.0,2.0,7.0,2,10.4275,20.855,0.0,19.858,0.997,6,5.8285,34.971,0.0,29.672,5.299
67_B21122,Group 3,No Task,Given,2,1,2,0.0,0.0,0.0,2.0,0.0,2.0,1,2.699,2.699,0.0,2.699,0.0,5,8.0312,40.156,0.0,30.172,9.984
22_B22177,Group 2,Book Task,Not Given,1,5,7,1.0,3.0,4.0,0.0,0.0,0.0,1,2.421,2.421,0.0,0.0,2.421,6,0.7196666666666667,4.318,0.0,4.318,0.0
68_B22120,Group 3,No Task,Given,7,1,34,0.0,0.0,0.0,5.0,1.0,4.0,5,2.0812,10.406,0.0,9.629,0.777,48,2.1679375,104.061,14.903,59.706,29.452
64_B22147,Group 4,No Task,Not Given,2,3,4,0.0,0.0,0.0,1.0,1.0,1.0,1,0.755,0.755,0.0,0.0,0.755,9,5.625111111111111,50.626,0.0,7.419,43.207
53_B22011,Group 4,No Task,Not Given,2,2,0,0.0,0.0,0.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2.3275,4.655,0.0,4.655,0.0
35_B21177,Group 1,Book Task,Given,9,3,12,5.0,1.0,7.0,0.0,0.0,0.0,1,36.261,36.261,0.0,36.261,0.0,5,8.2086,41.043,0.0,39.355,1.688
78_T24138,Group 3,No Task,Given,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,22.163666666666668,66.491,0.0,0.0,66.491
31_B22113,Group 2,Book Task,Not Given,3,1,6,8.0,4.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
54_B22086,Group 3,No Task,Given,5,1,5,0.0,0.0,0.0,3.0,0.0,4.0,1,47.864,47.864,0.0,44.024,3.84,9,5.863777777777777,52.774,0.0,47.132,5.642
13_B22112,Group 1,Book Task,Given,7,1,9,1.0,0.0,7.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10,8.1061,81.061,12.088,50.649,18.324
