ID,Group,Task,Information,AverageDurationInTableCover,AverageSeatedDuration,BooksPlacedAfterEarthquake,BooksPlacedBeforeEarthquake,BooksPlacedDuringEarthquake,CoverAttempts,ItemsObservedAfterEarthquake,ItemsObservedBeforeEarthquake,ItemsObservedDuringEarthquake,ItemsPickedAfterEarthquake,ItemsPickedBeforeEarthquake,ItemsPickedDuringEarthquake,SittingTransitions,TimeNearCornerAfterEarthquake,TimeNearCornerBeforeEarthquake,TimeNearCornerDuringEarthquake,TimeNearWallAfterEarthquake,TimeNearWallBeforeEarthquake,TimeNearWallDuringEarthquake,TotalDurationInTableCover,TotalDurationInTableCoverAfterEarthquake,TotalDurationInTableCoverBeforeEarthquake,TotalDurationInTableCoverDuringEarthquake,TotalSeatedDuration,TotalSeatedDurationAfterEarthquake,TotalSeatedDurationBeforeEarthquake,TotalSeatedDurationDuringEarthquake,TotalTimeNearCorner,TotalTimeNearWall
68_B22120,Group 4,No Task,Not Given,2.0812,2.1679375,0.0,0.0,0.0,5,4.0,5.0,1.0,34,7,1,48,0.0,0.0,0.965,4.878,0.0,7.368,10.406,0.777,0.0,9.629,104.061,29.452,14.903,59.706,0.965,12.246
84_S24010,Group 3,No Task,Given,0.0,10.0705625,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1,2,16,0.002,0.0,0.0,54.222,1.897,31.264,0.0,0.0,0.0,0.0,161.129,88.927,21.979,50.223,0.002,87.383
63_B22132,Group 3,No Task,Given,0.0,6.6165,0.0,0.0,0.0,0,5.0,2.0,0.0,11,3,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.699,0.223,0.0,39.476,0.0,0.0
16_B22105,Group 2,Book Task,Not Given,0.0,0.0,3.0,2.0,4.0,0,0.0,0.0,0.0,4,3,4,0,0.0,0.0,0.0,0.003,0.002,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
49_B22293,Group 4,No Task,Not Given,8.406,4.974636363636364,0.0,0.0,0.0,2,4.0,0.0,0.0,16,0,0,11,0.0,0.0,0.0,1.544,22.976,17.593,16.812,0.0,11.438,5.374,54.721,7.541,23.891,23.289,0.0,42.113
38_B22134,Group 1,Book Task,Given,0.0,9.276200000000001,1.0,3.0,0.0,0,0.0,0.0,0.0,3,3,0,5,0.0,0.0,0.0,0.156,0.0,0.0,0.0,0.0,0.0,0.0,46.381,6.187,0.0,40.194,0.0,0.156
11_B22214,Group 1,Book Task,Given,3.265,0.0,2.0,2.0,1.0,1,0.0,0.0,0.0,4,3,2,0,0.0,0.0,0.0,4.259,0.003,0.0,3.265,3.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.262
13_B22112,Group 1,Book Task,Given,0.0,8.1061,7.0,1.0,0.0,0,0.0,0.0,0.0,9,7,1,10,0.0,0.0,0.0,14.974,6.943,24.223,0.0,0.0,0.0,0.0,81.061,18.324,12.088,50.649,0.0,46.14
40_B21268,Group 1,Book Task,Given,0.0,2.2042105263157894,1.0,2.0,0.0,0,0.0,0.0,0.0,11,5,0,19,0.0,0.0,0.0,0.0,0.012,2.943,0.0,0.0,0.0,0.0,41.88,12.272,2.265,27.343,0.0,2.955
61_B22102,Group 4,No Task,Not Given,0.0,0.0,0.0,0.0,0.0,0,7.0,1.0,3.0,10,2,7,0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
69_B24362,Group 4,No Task,Not Given,49.486,4.720142857142857,0.0,0.0,0.0,1,3.0,4.0,0.0,9,6,1,14,0.0,0.0,0.0,0.026,0.065,0.0,49.486,0.0,0.0,49.486,66.082,13.59,0.0,52.492,0.0,0.091
5_B22122,Group 1,Book Task,Given,0.0,0.6635,5.0,9.0,7.0,0,0.0,0.0,0.0,10,5,13,10,0.0,0.0,0.0,9.759,2.56,44.312,0.0,0.0,0.0,0.0,6.635,1.078,0.0,5.557,0.0,56.631
29_B22128,Group 2,Book Task,Not Given,0.0,0.0,4.0,3.0,3.0,0,0.0,0.0,0.0,4,4,3,0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
78_T24138,Group 3,No Task,Given,0.0,22.163666666666668,0.0,0.0,0.0,0,0.0,0.0,0.0,3,0,0,3,3.151,0.0,15.518,16.456,17.379,25.869,0.0,0.0,0.0,0.0,66.491,66.491,0.0,0.0,18.669,59.704
32_B22087,Group 1,Book Task,Given,0.0,7.2783999999999995,3.0,3.0,0.0,0,0.0,0.0,0.0,4,3,0,5,0.0,0.0,0.0,3.099,2.201,35.846,0.0,0.0,0.0,0.0,36.392,1.611,0.0,34.781,0.0,41.146
55_B22099,Group 4,No Task,Not Given,0.0,0.0,0.0,0.0,0.0,0,7.0,4.0,5.0,13,8,7,0,0.0,0.0,0.0,1.718,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.743
41_B21034,Group 2,Book Task,Not Given,0.0,0.501,2.0,3.0,2.0,0,0.0,0.0,0.0,3,4,2,1,0.0,0.0,0.0,0.003,0.246,5.467,0.0,0.0,0.0,0.0,0.501,0.501,0.0,0.0,0.0,5.716
54_B22086,Group 3,No Task,Given,47.864,5.863777777777777,0.0,0.0,0.0,1,4.0,3.0,0.0,5,5,1,9,0.0,0.0,0.0,13.945,0.0,0.0,47.864,3.84,0.0,44.024,52.774,5.642,0.0,47.132,0.0,13.945
86_S24008,Group 4,No Task,Not Given,0.0,31.9675,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,1,4,0.0,0.0,0.0,81.62,0.0,27.671,0.0,0.0,0.0,0.0,127.87,89.979,13.156,24.735,0.0,109.291
